"title","estimate","all consumer units","less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and over"
"          Prepared flour mixes                              ","MEAN",13.11,5.14,5.37,10.1,10.27,9.46,11.6,10.48,11.2,18.9
"          Prepared flour mixes                              ","SE",0.54,1.66,1.68,2.26,1.66,1.14,1.48,1.43,1.48,1.1
"          Ready-to-eat and cooked cereals                   ","MEAN",90.38,57.7,60.18,74.19,65.37,66.34,82.04,84.7,86.52,117.87
"          Ready-to-eat and cooked cereals                   ","SE",2.11,7.71,7.12,8.37,7.24,4.25,6.34,6.01,5.45,4.46
"          Rice                                              ","MEAN",25.81,19.75,16.73,18.3,23.29,21.72,22.51,28.39,22.06,32.31
"          Rice                                              ","SE",1.16,3.39,3.71,2.8,5.62,3.56,4.92,4.86,1.61,2.13
"          Pasta, cornmeal and other cereal products         ","MEAN",36.59,23.37,24.58,25,22.21,25.04,26.56,31.96,34.3,52.83
"          Pasta, cornmeal and other cereal products         ","SE",1.21,3.93,5.2,3.91,2.46,2.62,2.04,3.94,2.84,2.36
"        Bakery products                                     ","MEAN",342.98,190.59,185.39,220.88,244.02,253.14,290.84,321.49,339.04,466.15
"        Bakery products                                     ","SE",6.71,18.99,17.32,15.39,14.39,9.61,13.8,19.88,11.1,13.33
"          Bread                                             ","MEAN",103.04,61,56.83,71.42,66.71,81.9,92.31,95.45,101.78,136.89
"          Bread                                             ","SE",2.38,5.63,5.58,5.78,4.66,4.09,6.21,5.99,4.03,6.04
"            White bread                                     ","MEAN",42.37,30.06,24.51,34.19,28.11,34.51,39.3,38.86,42.62,53.82
"            White bread                                     ","SE",1,3.22,3.61,3.2,2.35,2.17,3.02,2.55,1.97,2.35
"            Bread, other than white                         ","MEAN",60.67,30.94,32.32,37.22,38.6,47.38,53.01,56.59,59.17,83.07
"            Bread, other than white                         ","SE",1.6,3.4,3.32,3.56,3.16,2.4,3.86,4.39,2.78,4.02
"          Cookies and crackers                              ","MEAN",83.99,46.8,44.36,54.65,64.79,56.78,72.43,73.65,83.56,115.65
"          Cookies and crackers                              ","SE",2.51,6.44,6.47,6.61,7.01,3.81,5.27,6.37,4.96,4.48
"            Cookies                                         ","MEAN",47.02,26.22,25.87,29.74,35.52,30.51,42.11,43.16,47.43,64.14
"            Cookies                                         ","SE",1.75,5.26,5.42,4.6,4.59,2.73,3.2,4.6,3.96,3.5
"            Crackers                                        ","MEAN",36.97,20.59,18.49,24.91,29.27,26.28,30.32,30.49,36.13,51.52
"            Crackers                                        ","SE",1.24,3.7,3.22,3.16,3.93,2.56,2.62,2.72,2.67,2.09
"          Frozen and refrigerated bakery products           ","MEAN",26.94,13.6,13.2,17.73,19.75,19.69,21.77,25.84,25.85,37.29
"          Frozen and refrigerated bakery products           ","SE",1.02,3.09,4.12,2.85,3.04,2.1,3.13,3.25,2.61,2.01
"          Other bakery products                             ","MEAN",129,69.19,71,77.09,92.77,94.77,104.33,126.55,127.85,176.32
"          Other bakery products                             ","SE",3.11,9.42,9.63,6.96,6.72,5.45,5.86,9.52,6.35,7.17
"            Biscuits and rolls                              ","MEAN",51.17,24.34,27.73,26.68,34.55,38.72,40.56,47.92,51.75,71.4
"            Biscuits and rolls                              ","SE",1.39,3.71,3.68,3.31,4.02,2.58,2.57,3.97,3.05,2.75
"            Cakes and cupcakes                              ","MEAN",31.95,20.4,17.08,20.28,21.5,19.87,23.83,30.09,29.62,46.46
"            Cakes and cupcakes                              ","SE",1.46,4.88,4.6,3.71,3.94,2.42,2.63,4.15,3.42,3.76
"            Bread and cracker products                      ","MEAN",6.74,4.84,6.47,3.71,4.92,4.57,3.51,7.22,6.94,9.29
"            Bread and cracker products                      ","SE",0.46,1.88,2.64,1.3,1.22,0.98,0.68,1.25,0.95,0.82
"            Sweetrolls, coffee cakes, doughnuts             ","MEAN",24.31,9.04,10.87,17.54,20.93,19.85,23.94,25.55,25.83,29.63
"            Sweetrolls, coffee cakes, doughnuts             ","SE",1.18,2.14,2.69,3.02,3.02,2.47,3.23,3.72,2.53,2.32
"            Pies, tarts, turnovers                          ","MEAN",14.82,10.57,8.85,8.88,10.87,11.75,12.49,15.77,13.7,19.54
"            Pies, tarts, turnovers                          ","SE",0.83,2.57,3.7,2.8,1.78,2.22,2.01,2.18,1.79,1.82
"      Meats, poultry, fish, and eggs                        ","MEAN",891.54,577.22,535.86,582.09,569.93,710.23,754.77,832.95,897.89,1185.38
"      Meats, poultry, fish, and eggs                        ","SE",13.63,51.56,52.15,46.2,28.28,71.33,41.27,44.64,34.95,24.6
"        Beef                                                ","MEAN",231.7,121.85,137.8,132.48,136.6,206.34,187.4,223.45,238.71,307.77
"        Beef                                                ","SE",7.73,16.72,20.94,17.17,10.65,58.4,15.33,17.27,15.33,11.59
"          Ground beef                                       ","MEAN",98.64,68.12,69.65,70.32,67.31,91.75,95.77,98.5,101.84,117.19
"          Ground beef                                       ","SE",2.89,11.62,11.45,8.22,7.02,13.4,8.95,7.71,7.96,5.28
"          Roast                                             ","MEAN",30.84,11.22,14.86,16.5,17.81,16.49,19.98,36.95,34.57,44.16
"          Roast                                             ","SE",1.5,3.73,5.84,5,3.44,3.22,3.49,5.47,4.26,4.05
"            Chuck roast                                     ","MEAN",10.3,1.59,5.94,7.32,4.03,5.75,4.19,13.46,11.94,15.16
"            Chuck roast                                     ","SE",0.96,0.97,2.89,2.79,1.39,1.35,1.33,2.87,2.54,2.51
"            Round roast                                     ","MEAN",4.97,2.93,3.97,3.27,4.22,2.99,6.02,3.98,4.93,6.33
"            Round roast                                     ","SE",0.42,1.94,3.92,1.55,1.86,1.57,2.73,1.58,1.57,0.83
"            Other roast                                     ","MEAN",15.57,6.7,4.96,5.91,9.56,7.75,9.77,19.51,17.7,22.67
"            Other roast                                     ","SE",1.17,2.78,2.7,1.82,3.11,2.53,2.24,4.8,2.86,3.15
"          Steak                                             ","MEAN",80.77,35.69,41.55,36.24,43.26,70.54,57.2,70.44,84.77,115.23
"          Steak                                             ","SE",4.68,7.35,8.55,9.33,6.18,30.35,8.36,8.75,7.9,6.54
"            Round steak                                     ","MEAN",19.35,6.71,8.06,9.61,6.87,22.58,14.2,16.31,21.37,26.15
"            Round steak                                     ","SE",2,2.32,3.49,2.85,1.47,14.19,3.65,3.2,3.04,3
"            Sirloin steak                                   ","MEAN",24.4,12.24,10.61,10.02,13.01,17.03,11.01,25.96,27.43,36.3
"            Sirloin steak                                   ","SE",1.21,3.36,3.28,2.83,3.74,2.92,2.69,4.03,3.32,2.71
"            Other steak                                     ","MEAN",37.01,16.74,22.89,16.61,23.38,30.93,31.99,28.17,35.98,52.78
"            Other steak                                     ","SE",2.48,5.03,6.36,5.07,4.2,14.9,4.64,4.22,3.45,3.58
"          Other beef                                        ","MEAN",21.46,6.82,11.74,9.41,8.23,27.56,14.46,17.55,17.53,31.18
"          Other beef                                        ","SE",2.57,3,4.47,2.48,1.9,16.02,3.03,3.43,2.49,4.01
"        Pork                                                ","MEAN",176.77,112.96,109.15,123.3,116.74,134.68,165.53,155.6,183.24,230.54
"        Pork                                                ","SE",3.91,18.04,18.46,15.03,9.47,10.17,11.01,11.77,12.65,7.45
"          Bacon                                             ","MEAN",42.06,17.06,32.44,27.79,29.09,32.44,36.47,36.03,44.15,56.05
"          Bacon                                             ","SE",1.39,3.75,7.07,5.18,4.18,3.25,4.04,4.28,3.73,2.39
"          Pork chops                                        ","MEAN",28.31,22.65,16.21,18.4,20.88,21.77,28.72,24.07,27.61,36.6
"          Pork chops                                        ","SE",1.34,5.57,3.91,4.31,3.59,3.37,3.71,3.71,4.13,2.61
"          Ham                                               ","MEAN",32.79,18.08,23.61,24.47,21.24,23.64,34.64,27.92,35.12,41.62
"          Ham                                               ","SE",1.13,3.49,6.82,4.45,3.68,3.62,3.8,3.68,3.99,2.47
"            Ham, not canned                                 ","MEAN",31.55,18.06,23.61,24.18,19.6,23.64,34.51,26.09,32.6,40.02
"            Ham, not canned                                 ","SE",1.18,3.49,6.82,4.43,3.62,3.62,3.86,3.48,3.7,2.55
"            Canned ham                                      ","MEAN",1.24,0.01,0,0.29,1.64,0,0.14,1.83,2.52,1.6
"            Canned ham                                      ","SE",0.35,0.01,0,0.22,0.96,0,0.14,0.94,1.91,0.59
"          Sausage                                           ","MEAN",34.58,22.77,17.49,27.65,20.84,24.13,31.69,31.56,37.97,44.93
"          Sausage                                           ","SE",1.19,5.86,5.29,5.28,3.14,3.3,3.73,3.48,3.6,2.43
"          Other pork                                        ","MEAN",39.04,32.41,19.4,24.99,24.69,32.7,34.01,36.02,38.38,51.34
"          Other pork                                        ","SE",1.65,10.24,4.78,5.28,4.13,4.21,4.15,4.47,4.91,3.76
"        Other meats                                         ","MEAN",123.04,81.6,63.42,75.47,84.47,89.1,96.84,110.68,129.46,167.92
"        Other meats                                         ","SE",3.68,12.02,8.11,7.85,8.64,6.83,8.9,9.05,7.91,6.69
"          Frankfurters                                      ","MEAN",25.46,18.19,16.05,19.19,22.18,19.27,23.63,25.93,29.29,29.66
"          Frankfurters                                      ","SE",1.1,3.63,3.54,2.78,3.77,2.66,3.13,2.74,2.91,1.66
"          Lunch meats (cold cuts)                           ","MEAN",89.09,57.36,44.36,51.96,57.51,63.81,67.05,79.4,94.71,123.98
"          Lunch meats (cold cuts)                           ","SE",2.65,9.83,6.83,5.62,5.74,5.43,6.74,6.76,6.06,5.24
"            Bologna, liverwurst, salami                     ","MEAN",26.98,20.71,15.91,18.98,18.1,20.41,21.87,22.88,30.2,35.12
"            Bologna, liverwurst, salami                     ","SE",0.93,4.02,3.64,2.64,2.13,2.09,2.64,2.81,2.72,1.98
"            Other lunchmeats                                ","MEAN",62.11,36.66,28.45,32.98,39.42,43.4,45.17,56.53,64.51,88.86
"            Other lunchmeats                                ","SE",2.14,6.88,4.41,4.43,4.73,4.28,5.21,5.49,5.02,4.03
"          Lamb, organ meats and others                      ","MEAN",8.49,6.05,3.01,4.32,4.78,6.01,6.17,5.35,5.46,14.27
"          Lamb, organ meats and others                      ","SE",1.23,3.37,1.98,1.65,1.62,2.11,1.82,2.48,1.36,2.72
"            Lamb and organ meats                            ","MEAN",5.75,2.11,1.51,4.32,3.72,3.72,5.7,4.57,5.11,8.45
"            Lamb and organ meats                            ","SE",0.64,1.13,1.01,1.65,1.28,0.94,1.81,2.06,1.34,1.49
"            Mutton, goat and game                           ","MEAN",2.73,3.93,1.5,0,1.06,2.29,0.46,0.78,0.35,5.82
"            Mutton, goat and game                           ","SE",0.9,2.79,1.63,0,1.11,1.86,0.14,0.54,0.27,2.43
"        Poultry                                             ","MEAN",172.46,124.15,112.43,134.28,111.63,145.29,152.69,169.78,159.39,222.51
"        Poultry                                             ","SE",3.65,12.95,18.2,14.6,8.46,11.91,12.83,14.21,8.75,7.11
"          Fresh and frozen chickens                         ","MEAN",140.07,107.53,97.67,112.07,97.47,125.02,132.69,144.32,124.73,173.06
"          Fresh and frozen chickens                         ","SE",3.4,11.83,17.84,11.1,8.02,11.05,12.43,12.18,7.61,6.5
"            Fresh and frozen whole chicken                  ","MEAN",44.04,33.84,30.3,28.07,25.28,40.62,45.86,42.63,40.6,55.13
"            Fresh and frozen whole chicken                  ","SE",1.58,5.58,8.03,3.64,3.06,4.9,5.9,5.08,3.53,3.18
"            Fresh and frozen chicken parts                  ","MEAN",96.03,73.69,67.37,83.99,72.19,84.4,86.83,101.68,84.13,117.93
"            Fresh and frozen chicken parts                  ","SE",2.38,9.98,11.42,9.61,7.03,7.23,8.49,8.76,5.05,4.57
"          Other poultry                                     ","MEAN",32.39,16.62,14.76,22.21,14.16,20.27,20,25.47,34.66,49.45
"          Other poultry                                     ","SE",1.35,3.93,4.91,6.45,2.98,3.41,2.65,4,3.56,2.9
"        Fish and seafood                                    ","MEAN",129.27,94.02,79.48,72.29,77.16,85.72,99.67,116.25,126.51,185.02
"        Fish and seafood                                    ","SE",4.33,16.83,13.2,11.54,9.09,7.74,9.55,10.15,10.45,8.28
"          Canned fish and seafood                           ","MEAN",18.81,14.34,12.63,13.12,14.56,14.32,16.05,22.13,18.36,23.28
"          Canned fish and seafood                           ","SE",0.88,3.61,2.95,2.71,2.41,1.61,2.5,3.24,2.07,1.46
"          Fresh fish and shellfish                          ","MEAN",67.06,55.55,37.78,28.27,34.04,38.15,48.66,59.29,60.77,103.59
"          Fresh fish and shellfish                          ","SE",2.93,12.89,8.3,6.68,5.13,5.86,7.81,9.09,6.06,6.47
"          Frozen fish and shellfish                         ","MEAN",43.4,24.13,29.08,30.9,28.56,33.24,34.96,34.83,47.38,58.15
"          Frozen fish and shellfish                         ","SE",2.33,7.14,11.43,6.72,5.76,4.3,4.59,5.97,6.85,4.41
"        Eggs                                                ","MEAN",58.31,42.65,33.58,44.26,43.33,49.11,52.64,57.18,60.58,71.62
"        Eggs                                                ","SE",1.38,4.45,4,4.03,3.27,2.83,3.52,4.7,2.75,2.76
"      Dairy products                                        ","MEAN",423.21,245.49,238.64,262.44,297.95,312.58,337.01,415.53,438.61,568.27
"      Dairy products                                        ","SE",6.43,21.97,19.61,15.24,12.7,13.14,14.63,18.98,18.02,12.72
"        Fresh milk and cream                                ","MEAN",147.15,89.72,90.15,108.13,118.6,120.46,125.8,144.9,155.15,183.07
"        Fresh milk and cream                                ","SE",2.27,8.46,8.37,6.18,7.86,5.59,5.2,7.66,6.48,5.19
"          Fresh milk, all types                             ","MEAN",125.71,78.73,82.54,96.25,104.59,107.11,110.46,120.61,130.03,153.96
"          Fresh milk, all types                             ","SE",2.07,7.46,8.75,5.42,7.78,4.84,4.48,6.91,6.09,4.8
"          Cream                                             ","MEAN",21.45,10.99,7.61,11.88,14,13.34,15.33,24.29,25.11,29.11
"          Cream                                             ","SE",0.82,3.1,1.96,2.05,1.58,1.56,1.78,2.85,1.71,1.24
"        Other dairy products                                ","MEAN",276.06,155.77,148.49,154.31,179.36,192.13,211.21,270.63,283.46,385.2
"        Other dairy products                                ","SE",5.46,18.77,15.27,12.53,11.49,10.24,11.53,15.22,13.46,9.42
"          Butter                                            ","MEAN",26.91,15,11.2,18.98,16.77,21.15,25.2,28.23,24.78,35.94
"          Butter                                            ","SE",1.13,3.23,2.7,3.88,2.66,2.38,3.02,2.97,2.17,2.22
"          Cheese                                            ","MEAN",135.72,70.82,59.17,74.06,81.92,89.96,103.26,134.98,138.19,194.48
"          Cheese                                            ","SE",2.55,9.57,8.46,8.48,5.6,4.84,7.53,10.07,6.28,5.7
"          Ice cream and related products                    ","MEAN",55.75,38.63,41.82,33.48,48.73,44.03,42.23,54.9,58.71,70.79
"          Ice cream and related products                    ","SE",1.61,6.1,7.02,3.92,5.98,4.5,3.6,4.75,5.3,2.8
"          Miscellaneous dairy products                      ","MEAN",57.68,31.32,36.3,27.79,31.94,36.99,40.53,52.52,61.79,83.99
"          Miscellaneous dairy products                      ","SE",2.05,7.2,6.69,3.14,4.67,2.93,3.49,4.5,7.64,3.08
"      Fruits and vegetables                                 ","MEAN",755.85,457.99,406.37,428.93,480.26,556.82,627.22,705.81,733.78,1054.8
"      Fruits and vegetables                                 ","SE",12.45,53.73,36.58,32.34,30.75,23.57,34.11,41.45,30.23,22.3
"        Fresh fruits                                        ","MEAN",273.72,152.64,132.15,144.06,156.07,196.45,223.9,249.38,257.33,398
"        Fresh fruits                                        ","SE",4.97,23.56,10.49,14.53,11.85,10,15.58,15.59,11.84,10.12
"          Apples                                            ","MEAN",42.4,24.89,17.26,23.18,23.95,28.37,32.68,36.08,41.73,62.86
"          Apples                                            ","SE",1.29,6.63,2.93,1.97,2.65,3.02,3.15,3.73,3.48,2.69
"          Bananas                                           ","MEAN",43.41,21.77,27.49,28.32,30.41,31.6,39.94,41.92,37.92,59.97
"          Bananas                                           ","SE",1.25,3.27,3.68,3.48,2.61,2.4,3.71,3.44,2.6,2.58
"          Oranges                                           ","MEAN",28.28,17.3,8.23,10.61,16.94,21.9,25.33,24.51,26.75,41.1
"          Oranges                                           ","SE",1,2.72,1.73,1.94,2.2,2.16,3.4,2.85,1.92,1.7
"          Citrus fruits, excluding oranges                  ","MEAN",42.02,30.64,20.16,22.92,22.9,30.91,39.5,40.89,40.13,57.71
"          Citrus fruits, excluding oranges                  ","SE",1.22,6.98,2.42,5.3,3.06,2.47,4.21,4.01,2.95,2.67
"          Other fresh fruits                                ","MEAN",117.6,58.03,59.01,59.02,61.87,83.67,86.46,105.97,110.8,176.37
"          Other fresh fruits                                ","SE",2.46,9.74,5.96,7.03,6.3,5.3,7.68,7.48,7.2,5
"        Fresh vegetables                                    ","MEAN",240.4,145.69,134.55,129.19,156.91,173.68,191.63,231.19,232.07,337.66
"        Fresh vegetables                                    ","SE",4.1,18.61,21.01,9.48,11.91,9.23,11.54,16.96,11.2,8.78
"          Potatoes                                          ","MEAN",39.19,24.74,27.3,21.54,32.24,30.09,29.99,36.6,39.11,52.59
"          Potatoes                                          ","SE",1.04,3.95,9.95,2.51,4.17,2.15,2.49,4.05,3.15,1.71
"          Lettuce                                           ","MEAN",33.02,16.47,18.08,18.09,22.33,23.81,27.65,30.97,33.22,45.85
"          Lettuce                                           ","SE",0.8,3.01,2.89,2.61,3.41,2.07,2.82,3.22,2.11,1.82
"          Tomatoes                                          ","MEAN",40.7,22.9,27.32,24.59,26.48,30.78,35.44,42.3,38.64,54.63
"          Tomatoes                                          ","SE",1.26,3.93,5.38,3.64,2.94,2.43,3.27,4.45,3.32,2.62
"          Other fresh vegetables                            ","MEAN",127.49,81.58,61.86,64.97,75.86,89,98.55,121.33,121.1,184.6
"          Other fresh vegetables                            ","SE",2.52,12.11,7.89,4.89,6.96,6.11,7.29,9.93,6.23,5.28
"        Processed fruits                                    ","MEAN",108.62,76.91,59.14,64.9,70.22,83.27,88.14,102.58,113.04,145.5
"        Processed fruits                                    ","SE",2.96,10.66,7.98,6.48,5.26,5.72,5.72,8.55,6.25,5.14
"          Frozen fruits and fruit juices                    ","MEAN",11.81,11.42,5.33,5.85,6.38,7.37,8.21,13.24,13.44,15.96
"          Frozen fruits and fruit juices                    ","SE",0.81,4.93,1.98,2.02,1.78,1.75,1.95,2.77,1.8,1.61
"            Frozen orange juice                             ","MEAN",1.94,1.43,2.17,1.57,1.3,0.66,1.02,2.12,2.94,2.38
"            Frozen orange juice                             ","SE",0.23,0.91,1.26,0.7,0.68,0.4,0.37,0.52,0.74,0.42
"            Frozen fruits                                   ","MEAN",7.25,6.6,2.25,2.49,3.82,5.07,5.14,8.56,7.66,10.07
"            Frozen fruits                                   ","SE",0.67,3.43,1.32,1.45,1.43,1.56,1.79,2.34,1.61,1.43
"            Frozen fruit juices                             ","MEAN",2.62,3.39,0.9,1.79,1.26,1.64,2.05,2.55,2.85,3.51
"            Frozen fruit juices                             ","SE",0.35,1.79,0.64,1.14,0.81,0.52,0.68,1.36,0.79,0.53
"          Canned fruits                                     ","MEAN",18.78,9.28,8.12,11.74,11.16,13.7,15.27,19.38,18.67,26.06
"          Canned fruits                                     ","SE",0.88,1.87,2.28,2.14,1.85,2.57,2.1,2.32,2.4,1.65
"          Dried fruit                                       ","MEAN",7.74,4.23,4.25,5.73,5.32,5.2,7.41,6.52,6.61,10.99
"          Dried fruit                                       ","SE",0.48,1.93,1.81,2.08,1.44,1.26,1.15,1.53,1.08,0.76
"          Fresh fruit juice                                 ","MEAN",15.8,5.8,8.51,6.39,10.23,12.24,10.37,15.78,16.88,22.53
"          Fresh fruit juice                                 ","SE",0.84,1.59,2.4,1.52,1.85,1.54,1.64,2.14,1.98,1.78
"          Canned and bottled fruit juice                    ","MEAN",54.5,46.18,32.93,35.19,37.12,44.76,46.89,47.66,57.44,69.96
"          Canned and bottled fruit juice                    ","SE",1.6,5.83,4.48,3.98,3.19,3.94,3.56,4.26,4.57,3
"        Processed vegetables                                ","MEAN",133.1,82.75,80.52,90.78,97.07,103.42,123.53,122.66,131.34,173.63
"        Processed vegetables                                ","SE",3.58,11.97,10.29,12.6,9.51,5.71,8.89,8.36,9.16,5.62
"          Frozen vegetables                                 ","MEAN",35.7,22.45,25.95,25.24,20.85,24.01,36.16,30.61,33.5,48.67
"          Frozen vegetables                                 ","SE",1.11,4.09,5.21,4.59,3.06,2.3,3.94,2.88,2.64,2.23
"          Canned and dried vegetables and juices            ","MEAN",97.4,60.3,54.57,65.54,76.22,79.41,87.37,92.04,97.84,124.97
"          Canned and dried vegetables and juices            ","SE",2.99,9.29,7.93,10.1,7.23,5.45,6.39,7.05,7.74,4.45
"            Canned beans                                    ","MEAN",24.52,16.8,14.74,16.88,19.41,20.12,24.58,20.09,25.62,30.66
"            Canned beans                                    ","SE",0.96,3.36,2.31,3.25,4.28,2.44,2.67,2.03,2.38,1.48
"            Canned corn                                     ","MEAN",12.06,6.86,5.87,8.45,10.84,10.09,10.54,11.73,10.56,15.86
"            Canned corn                                     ","SE",0.76,2,1.81,2.59,2.14,2.02,1.42,1.89,1.47,1.25
"            Canned miscellaneous vegetables                 ","MEAN",23.93,12.78,12,16.58,17.68,20.18,20.42,19.92,23.98,31.99
"            Canned miscellaneous vegetables                 ","SE",0.95,3.2,2.34,3.4,2.75,2.15,2.64,2.62,2.68,1.49
"            Dried peas                                      ","MEAN",0.47,0.65,0,0.69,0.39,0.71,0.67,0.24,0.25,0.5
"            Dried peas                                      ","SE",0.11,0.45,0,0.55,0.45,0.37,0.45,0.18,0.16,0.17
"            Dried beans                                     ","MEAN",5.56,4.89,0.97,3.58,5.61,3.8,5.82,5.8,6.38,6.48
"            Dried beans                                     ","SE",0.38,1.76,0.5,1.3,2.1,0.87,1.39,1.24,1.04,0.73
