"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_"
"20141",2651485,20,0,"5","02","D","105","D","2010","D",.,"A",36,"D","12","D",300,"D","3","D",.,"A",.,"A",2000,"D",.,"A","11","D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",2000,"D",.,"A","DODAC","D",,"A","2010","D"
"20141",2651485,21,0,"5","03","D","105","D","2013","D",.,"A",39,"D","01","D",236,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",236,"D",236,"D",236,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBP","D",,"A","2013","D"
"20141",2651595,23,0,"5","01","D","105","D","2011","D",.,"A",36,"D","02","D",200,"D","3","D",.,"A",.,"A",.,"A",.,"A","10","D",200,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","HONAB","D",,"A","2011","D"
"20141",2651595,24,0,"5","02","D","105","D","2012","D",.,"A",3,"D","07","D",250,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",250,"D",250,"D",250,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HYUAE","D",,"A","2012","D"
"20141",2651875,10,0,"5","01","D","105","D","2011","D",.,"A",36,"D","02","D",326,"D","3","D",.,"A",.,"A",1800,"D",.,"A",,"A",326,"D",326,"D",326,"D",.,"A",.,"A",.,"A",1800,"D",.,"A","CHEAS","D",,"A","2011","D"
"20141",2651965,15,0,"1","01","D","105","D","2014","D",.,"A",48,"D","12","D",350,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",.,"A",.,"A",350,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","INFAP","D",,"A","2013","D"
"20141",2652165,11,0,"5","01","D","105","D","2004","D",.,"A",.,"B","04","D",325,"D","3","D",.,"A",.,"A",500,"D",.,"A","10","D",325,"D",.,"A",.,"A",.,"A",.,"A",.,"A",500,"D",.,"A","KIAAG","D",,"A","2013","D"
"20141",2652205,18,0,"5","01","D","105","D","2013","D",.,"A",36,"D","05","D",477,"D","3","D",.,"A",.,"A",3507,"D",.,"A",,"A",477,"D",477,"D",477,"D",.,"A",.,"A",.,"A",3507,"D",.,"A","XXXXX","D",,"A","2013","D"
"20141",2653375,6,0,"5","01","D","105","D","2006","D",.,"A",36,"D","11","D",300,"D","3","D",.,"A",.,"A",1500,"D",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",1500,"D",.,"A","FORBJ","D",,"A","2012","D"
"20141",2653395,20,0,"5","01","D","105","D","2012","D",.,"A",36,"D","10","D",395,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",395,"D",395,"D",395,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAC","D",,"A","2012","D"
"20141",2653535,26,0,"5","01","D","105","D","2010","D",.,"A",36,"D","11","F",250,"D","3","D",.,"A",.,"C",.,"C",.,"A",,"A",250,"D",250,"D",250,"D",.,"A",.,"A",.,"A",.,"B",.,"A","CHEAS","D",,"A","2010","D"
"20141",2654025,22,0,"5","01","D","105","D","2013","D",.,"A",36,"D","01","D",170,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",170,"D",170,"D",170,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAF","D",,"A","2013","D"
"20141",2654025,23,0,"5","02","D","105","D","2013","D",.,"A",36,"D","07","D",335,"D","3","D",.,"A",12000,"D",.,"A",.,"A",,"A",335,"D",335,"D",335,"D",.,"A",.,"A",.,"A",.,"A",.,"A","FORAO","D",,"A","2013","D"
"20141",2654365,8,0,"5","01","D","105","D","2013","D",.,"A",24,"D","05","D",500,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",.,"A",.,"A","LINAD","D",,"A","2013","D"
"20141",2654915,30,0,"5","01","D","105","D","2013","D",0.5,"D",24,"D","01","D",1500,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",1500,"D",1500,"D",1500,"D",.,"A",.,"A",.,"A",.,"A",.,"A","MRBAY","D",,"A","2013","D"
"20141",2655655,36,0,"5","01","D","105","D","2012","D",.,"A",39,"D","10","D",189,"D","3","D",.,"A",3000,"D",.,"A",.,"A",,"A",189,"D",189,"D",189,"D",.,"A",.,"A",.,"A",.,"A",.,"A","NISAN","D",,"A","2012","D"
"20141",2655695,17,0,"5","01","D","105","D","2010","D",.,"A",36,"D","09","F",480,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",480,"D",480,"D",480,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAG","D",,"A","2010","D"
"20141",2657185,26,0,"1","01","D","105","D","2011","D",.,"A",48,"D","07","D",489,"D","3","D",.,"A",5000,"D",5000,"D",.,"A",,"A",489,"D",489,"D",489,"D",.,"A",.,"A",.,"A",5000,"D",.,"A","TOYAU","D",,"A","2011","D"
"20141",2657185,27,0,"1","02","D","105","D","2014","D",.,"A",36,"D","05","D",528,"D","3","D",.,"A",.,"A",10000,"D",.,"A",,"A",528,"D",528,"D",528,"D",.,"A",.,"A",.,"A",10000,"D",.,"A","TOYAB","D",,"A","2013","D"
"20141",2657455,14,0,"5","01","D","105","D","2012","D",.,"A",72,"D","12","D",520,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",520,"D",520,"D",520,"D",45,"D",45,"D",45,"D",.,"A",.,"A","CHEBS","D",,"A","2012","D"
"20141",2657645,43,0,"5","01","D","105","D","2013","D",.,"A",36,"D","01","D",425,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",425,"D",425,"D",425,"D",.,"A",.,"A",.,"A",.,"A",.,"A","FORAM","D",,"A","2013","D"
"20141",2657735,12,0,"1","01","D","105","D","2014","D",.,"A",36,"D","11","D",700,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",700,"D",700,"D",.,"A",.,"A",.,"A",.,"A",.,"A","LEXAG","D",,"A","2013","D"
"20141",2657955,22,0,"5","01","D","105","D","2012","D",0.5,"D",36,"D","03","D",315,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",315,"D",315,"D",315,"D",.,"A",.,"A",.,"A",.,"A",.,"A","VOKAK","D",,"A","2012","D"
"20141",2659185,19,0,"5","01","D","105","D","2012","D",.,"A",36,"D","03","D",213,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",213,"D",213,"D",213,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAB","D",,"A","2013","D"
"20141",2659585,17,0,"5","01","D","105","D","2011","D",.,"A",36,"D","07","D",167,"D","3","D",.,"A",.,"A",3000,"D",.,"A",,"A",167,"D",167,"D",167,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","HYUAB","D",,"A","2011","D"
"20141",2659585,18,0,"5","02","D","105","D","2011","D",.,"A",36,"D","07","D",167,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",167,"D",167,"D",167,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HYUAB","D",,"A","2011","D"
"20141",2659695,15,0,"5","01","D","105","D","2013","D",.,"A",60,"D","06","D",225,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",225,"D",225,"D",225,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAF","D",,"A","2012","D"
"20141",2659695,16,0,"5","02","D","105","D","2007","D",.,"A",72,"D","08","D",456,"D","3","D",.,"A",.,"A",.,"A",.,"A","11","D",456,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","NISAS","D",,"A","2007","D"
"20141",2659835,13,0,"5","01","D","105","D","2013","D",.,"A",36,"D","09","F",475,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",475,"D",475,"D",475,"D",.,"A",.,"A",.,"A",.,"A",.,"A","BMWAA","D",,"A","2013","D"
"20141",2661395,16,0,"5","01","D","105","D","2006","D",.,"A",60,"D","11","D",269,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",269,"D",269,"D",269,"D",.,"A",.,"A",.,"A",.,"A",.,"A","JEEAD","D",,"A","2012","D"
"20141",2661445,7,0,"1","01","D","105","D","2006","D",.,"A",60,"D","10","D",500,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",.,"A",.,"A","FORAO","D",,"A","2013","D"
"20141",2661715,26,0,"5","01","D","105","D","2012","D",.,"A",36,"D","04","D",650,"D","3","D",.,"A",.,"A",.,"C",.,"A","01","D",650,"D",650,"D",650,"D",.,"A",.,"A",.,"A",.,"B",.,"A","AUDAH","D",,"A","2012","D"
"20141",2661715,27,0,"1","02","D","105","D","2013","D",.,"A",36,"D","05","D",700,"D","3","D",.,"A",.,"A",.,"C",.,"A",,"A",700,"D",700,"D",700,"D",.,"A",.,"A",.,"A",.,"B",.,"A","AUDAY","D",,"A","2013","D"
"20141",2664145,33,0,"5","01","D","105","D","2014","D",.,"A",36,"D","07","D",230,"D","3","D",.,"A",.,"A",5000,"D",.,"A",,"A",230,"D",230,"D",230,"D",.,"A",.,"A",.,"A",5000,"D",.,"A","KIAAE","D",,"A","2013","D"
"20141",2664195,12,0,"5","01","D","105","D","2013","D",.,"A",36,"D","04","D",175,"D","3","D",.,"A",7000,"D",.,"A",.,"A",,"A",175,"D",175,"D",175,"D",.,"A",.,"A",.,"A",.,"A",.,"A","SUBAC","D",,"A","2013","D"
"20141",2664725,11,0,"5","01","D","105","D","2012","D",.,"A",36,"D","12","D",240,"D","3","D",.,"A",500,"D",3000,"D",.,"A",,"A",240,"D",240,"D",240,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","NISAN","D",,"A","2012","D"
"20141",2665895,18,0,"5","01","D","105","D","2010","D",.,"A",36,"D","05","D",269,"D","3","D",.,"A",.,"A",1200,"D",.,"A",,"A",269,"D",269,"D",269,"D",.,"A",.,"A",.,"A",1200,"D",.,"A","TOYAC","D",,"A","2010","D"
"20141",2665895,19,0,"5","02","D","105","D","2009","D",.,"A",60,"D","04","D",470,"D","3","D",.,"A",3000,"D",.,"A",.,"A",,"A",470,"D",470,"D",470,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAI","D",,"A","2009","D"
"20141",2666525,34,0,"5","01","D","105","D","2013","D",.,"A",36,"D","08","D",165,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",165,"D",165,"D",165,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","HONAB","D",,"A","2013","D"
"20141",2666525,35,0,"5","02","D","105","D","2013","D",.,"A",36,"D","10","D",333,"D","3","D",.,"A",.,"A",3330,"D",.,"A",,"A",333,"D",333,"D",333,"D",.,"A",.,"A",.,"A",3330,"D",.,"A","HONAI","D",,"A","2013","D"
"20141",2666705,15,0,"5","01","D","105","D","2010","D",.,"A",36,"D","07","D",360,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",360,"D",360,"D",360,"D",.,"A",.,"A",.,"A",.,"A",.,"A","FORAW","D",,"A","2011","D"
"20141",2666885,17,0,"5","01","D","105","D","2011","D",.,"A",36,"D","04","D",248,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",248,"D",248,"D",248,"D",.,"A",.,"A",.,"A",.,"A",.,"A","KIAAL","D",,"A","2011","D"
"20141",2667125,28,0,"5","01","D","105","D","2011","D",.,"A",36,"D","05","D",346,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",346,"D",346,"D",346,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAU","D",,"A","2011","D"
"20141",2667195,17,0,"5","01","D","105","D","2013","D",.,"A",60,"D","02","D",450,"D","3","D",.,"A",.,"A",.,"C",.,"A",,"A",450,"D",450,"D",450,"D",.,"A",.,"A",.,"A",.,"B",.,"A","MRBXX","D",,"A","2013","D"
"20141",2667615,7,0,"5","01","D","105","D","2013","D",.,"A",.,"C","09","D",122,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",122,"D",122,"D",122,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAF","D",,"A","2013","D"
"20141",2667995,20,0,"1","01","D","105","D","2014","D",.,"A",42,"D","02","D",360,"D","3","D",.,"A",4200,"D",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","MAZAN","D",,"A","2014","D"
"20141",2668455,16,0,"5","01","D","105","D","2013","D",.,"A",42,"D","10","D",658,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",658,"D",658,"D",658,"D",.,"A",.,"A",.,"A",.,"A",.,"A","AUDAX","D",,"A","2012","D"
"20141",2669365,12,0,"5","01","D","105","D","2012","D",.,"A",36,"D","01","D",381,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",381,"D",381,"D",381,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAB","D",,"A","2011","D"
"20141",2670185,17,0,"5","01","D","105","D","2014","D",.,"A",36,"D","09","D",399,"D","3","D",.,"A",.,"A",2500,"D",.,"A",,"A",399,"D",399,"D",399,"D",.,"A",.,"A",.,"A",2500,"D",.,"A","MAZAY","D",,"A","2013","D"
"20141",2670555,10,0,"5","01","D","105","D","2006","D",.,"A",26,"D","08","D",270,"D","3","D",.,"A",.,"A",1500,"D",.,"A","12","D",270,"D",.,"A",.,"A",.,"A",.,"A",.,"A",1500,"D",.,"A","CHEAP","D",,"A","2012","D"
"20141",2670555,11,0,"5","02","D","105","D","1998","D",.,"A",48,"D","12","D",200,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",200,"D",200,"D",200,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","DODAJ","D",,"A","2012","D"
"20141",2670665,26,0,"5","01","D","105","D","2013","D",.,"A",36,"D","12","D",373,"D","3","D",.,"A",.,"A",10000,"D",.,"A",,"A",373,"D",373,"D",373,"D",.,"A",.,"A",.,"A",10000,"D",.,"A","LEXAK","D",,"A","2012","D"
"20141",2670845,29,0,"5","01","D","105","D","2012","D",.,"A",36,"D","03","D",559,"D","3","D",.,"A",.,"A",515,"D",.,"A",,"A",559,"D",559,"D",559,"D",.,"A",.,"A",.,"A",515,"D",.,"A","FORAM","D",,"A","2012","D"
"20141",2671495,15,0,"5","01","D","105","D","2012","D",.,"A",39,"D","04","D",210,"D","3","D",.,"A",6000,"D",.,"A",.,"A",,"A",210,"D",210,"D",210,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBT","D",,"A","2012","D"
"20141",2671735,13,0,"5","01","D","105","D","2011","D",.,"A",36,"D","02","D",274,"D","3","D",.,"A",.,"A",4000,"D",.,"A","02","D",274,"D",274,"D",274,"D",.,"A",.,"A",.,"A",4000,"D",.,"A","HONXX","D",,"A","2011","D"
"20141",2671915,12,0,"5","01","D","105","D","2012","D",.,"A",42,"D","05","D",386,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",386,"D",386,"D",386,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAB","D",,"A","2012","D"
"20141",2673235,13,0,"5","01","D","105","D","2010","D",.,"A",48,"D","02","D",410,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",410,"D",410,"D",410,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAO","D",,"A","2010","D"
"20141",2674245,3,0,"5","01","D","105","D","2010","D",.,"A",.,"C","07","F",350,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",350,"D",350,"D",350,"D",.,"A",.,"A",.,"A",.,"A",.,"A","SAAXX","D",,"A","2012","F"
"20141",2674485,15,0,"5","01","D","105","D","2002","D",.,"A",39,"D","12","D",169,"D","3","D",.,"A",.,"A",4000,"D",.,"A",,"A",169,"D",169,"D",169,"D",.,"A",.,"A",.,"A",4000,"D",.,"A","CHEBT","D",,"A","2011","D"
"20141",2674635,23,0,"5","01","D","105","D","2011","D",.,"A",36,"D","08","D",208,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",208,"D",208,"D",208,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAA","D",,"A","2011","D"
"20141",2674755,28,0,"5","01","D","105","D","2011","D",.,"A",24,"D","06","D",530,"D","3","D",.,"A",.,"A",1200,"D",.,"A",,"A",530,"D",530,"D",530,"D",.,"A",.,"A",.,"A",1200,"D",.,"A","MRBAY","D",,"A","2012","D"
"20141",2675515,21,0,"5","01","D","105","D","2013","D",.,"A",36,"D","05","D",370,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",370,"D",370,"D",370,"D",.,"A",.,"A",.,"A",.,"A",.,"A","BUIAG","D",,"A","2013","D"
"20141",2675925,18,0,"5","01","D","105","D","2012","D",.,"A",60,"D","05","D",50,"D","3","D",.,"A",.,"A",1600,"D",.,"A",,"A",50,"D",50,"D",50,"D",.,"A",.,"A",.,"A",1600,"D",.,"A","HONAB","D",,"A","2013","D"
"20141",2676745,20,0,"5","01","D","105","D","2014","D",.,"A",.,"C","12","D",309,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",309,"D",309,"D",309,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBT","D",,"A","2013","D"
"20141",2677585,27,0,"5","01","D","105","D","2013","D",.,"A",30,"D","12","D",294,"D","3","D",.,"A",6000,"D",.,"A",.,"A",,"A",294,"D",294,"D",294,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAO","D",,"A","2013","D"
"20141",2677895,9,0,"5","01","D","105","D",,"C",.,"A",.,"C","05","F",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",286,"F",286,"F",286,"F",.,"A",.,"A",.,"A",.,"A",.,"A","CADXX","D",,"A","2012","F"
"20141",2677935,15,0,"5","01","D","105","D","2008","D",.,"A",60,"D","06","D",500,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAT","D",,"A","2008","D"
"20141",2678605,26,0,"5","01","D","105","D","2013","D",.,"A",36,"D","11","D",300,"D","3","D",.,"A",.,"A",.,"C",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"B",.,"A","BMWAA","D",,"A","2012","D"
"20141",2678675,25,0,"1","01","D","105","D","2014","D",.,"A",.,"C","11","D",385,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",385,"D",385,"D",385,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAO","D",,"A","2013","D"
"20141",2678775,20,0,"5","02","D","105","D","2013","D",.,"A",36,"D","08","D",278,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",278,"D",278,"D",278,"D",.,"A",.,"A",.,"A",.,"A",.,"A","VOKAI","D",,"A","2013","D"
"20141",2679055,16,0,"5","01","D","105","D","2012","D",.,"A",36,"D","03","D",360,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",360,"D",360,"D",360,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAC","D",,"A","2012","D"
"20141",2680304,17,0,"5","01","D","105","D","2012","D",.,"A",60,"D","11","D",475,"D","3","D",.,"A",.,"A",3000,"D",.,"A",,"A",475,"D",475,"D",475,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","FORAM","D",,"A","2011","D"
"20141",2680684,13,0,"5","01","D","105","D","2012","D",.,"A",.,"C","05","F",390,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",390,"D",390,"D",390,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAU","D",,"A","2012","F"
"20141",2681414,6,0,"5","01","D","105","D","2012","D",.,"A",36,"D","01","D",225,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",225,"D",225,"D",225,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","NISAN","D",,"A","2012","D"
"20141",2682044,15,0,"5","01","D","105","D","2013","D",.,"A",.,"C","07","F",500,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",.,"A",.,"A","LEXXX","D",,"A","2013","D"
"20141",2682484,16,0,"5","01","D","105","D","2003","D",.,"A",.,"C","11","D",300,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBI","D",,"A","2006","D"
"20141",2683114,16,0,"5","01","D","105","D","2013","D",.,"A",24,"D","03","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",321,"F",321,"F",321,"F",.,"A",.,"A",.,"A",.,"A",.,"A","JEEXX","D",,"A","2013","D"
"20141",2683314,32,0,"5","01","D","105","D",,"C",.,"A",48,"D","12","D",500,"D","3","D",.,"A",.,"A",.,"A",.,"A","11","D",500,"D",500,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","VOVAW","D",,"A","2009","D"
"20141",2683314,33,0,"1","02","D","105","D","2013","D",.,"A",3,"D","12","D",600,"D","3","D",.,"A",15000,"F",.,"A",.,"A",,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A",.,"A","VOVAW","D",,"A","2013","D"
"20141",2683614,14,0,"1","01","D","105","D","2012","D",.,"A",36,"D","02","D",249,"D","3","D",.,"A",.,"A",249,"D",.,"A",,"A",249,"D",249,"D",249,"D",.,"A",.,"A",.,"A",249,"D",.,"A","HONAB","D",,"A","2012","D"
"20141",2684454,17,0,"5","01","D","105","D","2013","D",.,"A",24,"D","12","D",138,"D","3","D",.,"A",1600,"D",1500,"D",.,"A",,"A",138,"D",138,"D",138,"D",.,"A",.,"A",.,"A",1500,"D",.,"A","FORBA","D",,"A","2012","D"
"20141",2685344,11,0,"5","01","D","105","D","2011","D",.,"A",36,"D","05","D",495,"D","3","D",.,"A",.,"A",.,"A",.,"A","11","D",495,"D",495,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","LEXAA","D",,"A","2011","D"
"20141",2685424,10,0,"1","01","D","105","D","2014","D",.,"A",36,"D","10","D",400,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","JEEXX","D",,"A","2014","D"
"20141",2685514,5,0,"5","01","D","105","D","2011","D",.,"A",36,"D","12","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",352,"F",352,"F",352,"F",.,"A",.,"A",.,"A",.,"A",.,"A","KIAAG","D",,"A","2012","D"
"20141",2685654,15,0,"5","01","D","105","D","2014","D",.,"A",36,"D","03","D",330,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",330,"D",330,"D",330,"D",.,"A",.,"A",.,"A",.,"A",.,"A","MAZAY","D",,"A","2013","D"
"20141",2686044,16,0,"5","01","D","105","D","2011","D",.,"A",36,"D","10","F",350,"D","3","D",.,"A",.,"A",1500,"D",.,"A",,"A",350,"D",350,"D",350,"D",.,"A",.,"A",.,"A",1500,"D",.,"A","VOKXX","D",,"A","2012","D"
"20141",2686744,19,0,"5","01","D","105","D","2012","D",.,"A",36,"D","03","D",353,"D","3","D",.,"A",2500,"D",.,"A",.,"A",,"A",353,"D",353,"D",353,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAC","D",,"A","2012","D"
"20141",2686794,33,0,"5","01","D","105","D","2004","D",.,"A",36,"D","04","D",140,"D","3","D",.,"A",4000,"D",.,"A",.,"A",,"A",140,"D",140,"D",140,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAO","D",,"A","2013","D"
